account_value,date,daily_return
701312.884900003,2022-10-27,
693819.267150003,2022-10-28,-0.010685127724508359
688882.9831500029,2022-10-31,-0.007114653964968243
701592.7430300027,2022-11-01,0.018449809606100098
707125.9895300027,2022-11-02,0.00788669289266486
706481.0005300026,2022-11-03,-0.0009121274137141588
720281.1885300026,2022-11-04,0.019533700113162356
716086.8425400027,2022-11-07,-0.005823206348842813
714149.1535400026,2022-11-08,-0.0027059413536030252
711833.2705400025,2022-11-09,-0.003242856185602716
711572.4355400025,2022-11-10,-0.00036642709858458744
718025.8315400026,2022-11-11,0.009069204592084379
700641.7565400025,2022-11-14,-0.02421093258262752
712120.6925400028,2022-11-15,0.016383459725105354
713324.2445400027,2022-11-16,0.0016900955310075183
711229.1075400027,2022-11-17,-0.00293714536697276
702994.3135400027,2022-11-18,-0.011578257853481988
687213.3915400027,2022-11-21,-0.022448150285218516
685219.5155400026,2022-11-22,-0.0029013928199680405
680039.3855400027,2022-11-23,-0.007559810954767654
672140.1845300026,2022-11-24,-0.011615799287459705
673708.5807800028,2022-11-25,0.002333436217768714
686010.8189800027,2022-11-28,0.01826047426285804
719361.3550000028,2022-11-29,0.0486151750049475
723775.3431200027,2022-11-30,0.006135981713946581
734804.1462200027,2022-12-01,0.01523788176101415
722963.5100200028,2022-12-02,-0.016114002977406616
742024.1033400027,2022-12-05,0.02636453023676455
755268.7592500028,2022-12-06,0.017849360755780364
764747.8698100026,2022-12-07,0.012550645639590297
766307.4977300027,2022-12-08,0.0020394014570941366
766359.2712500027,2022-12-09,6.756232994375999e-05
771524.6474200027,2022-12-12,0.006740149644924198
766910.8379300026,2022-12-13,-0.005980119371984838
781294.5987400026,2022-12-14,0.01875545382671051
782615.1802000029,2022-12-15,0.0016902477786611136
787662.0352200028,2022-12-16,0.006448705759464213
775472.9754400027,2022-12-19,-0.015474987031202425
758227.8382900028,2022-12-20,-0.02223821808905091
764402.2642900026,2022-12-21,0.008143233060295962
776637.8104300026,2022-12-22,0.016006684845923047
782446.7768300028,2022-12-23,0.007479633777788708
770863.0401300028,2022-12-26,-0.014804504335656166
771690.0647600029,2022-12-27,0.0010728554710064397
768626.3040800026,2022-12-28,-0.0039701958336773036
760649.2160800027,2022-12-29,-0.010378369771703255
761357.8554000027,2022-12-30,0.0009316243348700404
754649.6507400026,2023-01-03,-0.008810843169767657
757712.6611000028,2023-01-04,0.00405885082832369
785867.6111000028,2023-01-05,0.03715781911196547
780519.7511000027,2023-01-06,-0.006805039327825946
788158.8311000027,2023-01-09,0.009787170650370047
800425.3511000026,2023-01-10,0.015563512728620887
789997.5611000028,2023-01-11,-0.013027810757954117
782914.1311000027,2023-01-12,-0.00896639476979788
793494.8511000026,2023-01-13,0.013514534454926785
817235.3011000027,2023-01-16,0.029918845682601836
814866.7911000028,2023-01-17,-0.002898198348519565
812429.9111000027,2023-01-18,-0.002990525600767846
817165.6511000027,2023-01-19,0.005829105914611166
816107.2411000027,2023-01-20,-0.0012952208632059925
789137.8911000027,2023-01-30,-0.0330463309744059
777492.1311000027,2023-01-31,-0.014757572955680365
